#{"t_start": 1701555576.22989, "env_id": "CartPole-v1"}
r,l,t
23.0,23,78.431433
128.0,128,78.441854
127.0,127,78.4521
126.0,126,78.462359
125.0,125,78.47256
128.0,128,78.482866
18.0,18,78.484408
23.0,23,78.486343
127.0,127,78.496619
127.0,127,78.506917
127.0,127,78.517117
126.0,126,78.527283
24.0,24,78.529228
131.0,131,78.539805
129.0,129,78.550101
128.0,128,78.560475
25.0,25,78.562516
124.0,124,78.572235
123.0,123,78.582256
126.0,126,78.592365
128.0,128,78.602531
126.0,126,78.612632
131.0,131,78.623466
128.0,128,78.633892
23.0,23,78.635832
128.0,128,78.64617
21.0,21,78.647952
126.0,126,78.658055
124.0,124,78.668035
20.0,20,78.66969
132.0,132,78.680276
128.0,128,78.690393
123.0,123,78.700325
124.0,124,78.710353
133.0,133,78.720981
128.0,128,78.73114
122.0,122,78.740977
126.0,126,78.751262
122.0,122,78.761229
128.0,128,78.771727
126.0,126,78.781653
127.0,127,78.791985
134.0,134,78.802967
128.0,128,78.813419
129.0,129,78.823715
131.0,131,78.834035
126.0,126,78.843898
128.0,128,78.854232
18.0,18,78.855701
128.0,128,78.866041
20.0,20,78.867716
132.0,132,78.87833
122.0,122,78.887878
126.0,126,78.898011
126.0,126,78.908217
124.0,124,78.918351
25.0,25,78.92038
124.0,124,78.930492
