#{"t_start": 1701555576.22989, "env_id": "CartPole-v1"}
r,l,t
17.0,17,4.999427
18.0,18,5.00146
20.0,20,5.003464
18.0,18,5.004675
18.0,18,5.006384
39.0,39,5.01034
37.0,37,5.014998
16.0,16,5.143027
12.0,12,5.144875
19.0,19,5.147114
22.0,22,5.185357
17.0,17,5.186706
13.0,13,5.188319
10.0,10,5.189738
11.0,11,5.190918
44.0,44,5.194902
76.0,76,5.203732
69.0,69,5.335716
35.0,35,5.339052
22.0,22,5.340994
21.0,21,5.343594
30.0,30,5.347009
99.0,99,5.480062
15.0,15,5.481962
23.0,23,5.484028
16.0,16,5.531794
19.0,19,5.533866
34.0,34,5.537268
14.0,14,5.539089
15.0,15,5.541106
86.0,86,5.550156
20.0,20,5.552422
19.0,19,5.678458
89.0,89,5.687833
94.0,94,5.697491
50.0,50,5.702654
185.0,185,5.884549
34.0,34,5.896416
12.0,12,5.897661
38.0,38,5.901333
37.0,37,6.029961
35.0,35,6.033823
14.0,14,6.034917
23.0,23,6.037555
10.0,10,6.038605
14.0,14,6.040146
19.0,19,6.041957
15.0,15,6.043259
116.0,116,6.179796
22.0,22,6.214306
13.0,13,6.216211
14.0,14,6.217485
35.0,35,6.221217
57.0,57,6.22766
21.0,21,6.230039
21.0,21,6.232153
33.0,33,6.235739
21.0,21,6.363258
45.0,45,6.368771
133.0,133,6.383197
47.0,47,6.387473
49.0,49,6.582933
83.0,83,6.594529
18.0,18,6.596816
57.0,57,6.602933
45.0,45,6.607928
12.0,12,6.609441
13.0,13,6.611244
11.0,11,6.750085
17.0,17,6.766366
19.0,19,6.768521
67.0,67,6.775881
54.0,54,6.782591
115.0,115,7.002018
322.0,322,7.387429
13.0,13,7.39315
15.0,15,7.396865
21.0,21,7.407322
106.0,106,7.422472
17.0,17,7.737943
14.0,14,7.741135
11.0,11,7.743259
12.0,12,7.744764
11.0,11,7.74617
14.0,14,7.748725
55.0,55,7.755903
17.0,17,7.759006
81.0,81,7.769144
17.0,17,7.771127
14.0,14,7.773059
14.0,14,8.03
15.0,15,8.031679
15.0,15,8.033596
44.0,44,8.039379
18.0,18,8.042605
34.0,34,8.046184
13.0,13,8.047931
27.0,27,8.051944
18.0,18,8.054048
11.0,11,8.055026
14.0,14,8.056984
19.0,19,8.059304
17.0,17,8.104301
13.0,13,8.2837
14.0,14,8.285479
26.0,26,8.288578
15.0,15,8.290276
24.0,24,8.29237
89.0,89,8.302278
15.0,15,8.304237
13.0,13,8.305572
13.0,13,8.30661
13.0,13,8.308164
10.0,10,8.309384
90.0,90,8.442754
35.0,35,8.447908
92.0,92,8.457881
20.0,20,8.46034
22.0,22,8.50746
98.0,98,8.658425
16.0,16,8.660373
17.0,17,8.662812
15.0,15,8.664211
12.0,12,8.66543
12.0,12,8.666911
11.0,11,8.668215
93.0,93,8.789225
89.0,89,8.799586
17.0,17,8.801057
12.0,12,8.802524
14.0,14,8.803868
13.0,13,8.805102
100.0,100,8.853317
57.0,57,8.969832
11.0,11,8.970874
12.0,12,8.972235
13.0,13,8.973841
34.0,34,8.977485
100.0,100,8.987873
122.0,122,9.108623
159.0,159,9.190959
108.0,108,9.310897
90.0,90,9.321227
113.0,113,9.445158
136.0,136,9.459027
20.0,20,9.512755
19.0,19,9.514894
131.0,131,9.637215
116.0,116,9.650135
151.0,151,9.773403
103.0,103,9.825099
15.0,15,9.826847
99.0,99,9.969525
11.0,11,9.971329
16.0,16,9.973211
28.0,28,9.976704
87.0,87,9.987162
99.0,99,10.146171
30.0,30,10.149841
114.0,114,10.215018
15.0,15,10.216669
176.0,176,10.362887
146.0,146,10.505835
102.0,102,10.518428
102.0,102,10.57407
247.0,247,10.730251
154.0,154,10.876999
132.0,132,10.949721
232.0,232,11.103987
182.0,182,11.328386
202.0,202,11.476869
279.0,279,11.843577
247.0,247,11.999411
116.0,116,12.021046
130.0,130,12.195952
108.0,108,12.25572
105.0,105,12.39635
106.0,106,12.410023
99.0,99,12.546181
143.0,143,12.629636
138.0,138,12.779347
98.0,98,12.792402
99.0,99,12.806185
101.0,101,12.950771
92.0,92,13.005253
18.0,18,13.007971
99.0,99,13.145526
26.0,26,13.148866
100.0,100,13.161288
93.0,93,13.173719
361.0,361,13.597047
290.0,290,13.778386
11.0,11,13.779466
104.0,104,13.791897
94.0,94,13.910533
87.0,87,13.920219
26.0,26,13.92329
96.0,96,14.041996
27.0,27,14.082031
85.0,85,14.092187
31.0,31,14.095664
77.0,77,14.10451
23.0,23,14.214224
98.0,98,14.225669
90.0,90,14.23669
93.0,93,14.37059
24.0,24,14.373122
42.0,42,14.378197
47.0,47,14.384364
34.0,34,14.390016
160.0,160,14.517109
94.0,94,14.527715
92.0,92,14.684498
102.0,102,14.696443
101.0,101,14.708898
