#{"t_start": 1701552347.621405, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.208191
21.0,21,0.209282
23.0,23,0.210273
54.0,54,0.213202
11.0,11,0.214714
42.0,42,0.217013
55.0,55,0.219887
28.0,28,0.220995
14.0,14,0.222183
17.0,17,0.2228
23.0,23,0.224107
20.0,20,0.225066
14.0,14,0.225835
22.0,22,0.226832
10.0,10,0.227302
16.0,16,0.228113
23.0,23,0.229195
14.0,14,0.230027
18.0,18,0.230651
20.0,20,0.23157
25.0,25,0.232971
24.0,24,0.26219
12.0,12,0.263229
20.0,20,0.264229
19.0,19,0.265543
13.0,13,0.266326
62.0,62,0.269015
14.0,14,0.269543
45.0,45,0.271819
18.0,18,0.272691
47.0,47,0.274575
38.0,38,0.27647
19.0,19,0.277613
16.0,16,0.278465
54.0,54,0.280753
35.0,35,0.282423
30.0,30,0.28392
17.0,17,0.284508
12.0,12,0.285
26.0,26,0.295468
23.0,23,0.419503
13.0,13,0.421261
9.0,9,0.422262
11.0,11,0.423517
11.0,11,0.425022
12.0,12,0.426256
13.0,13,0.427549
9.0,9,0.428533
9.0,9,0.429703
12.0,12,0.431165
10.0,10,0.4323
9.0,9,0.433309
12.0,12,0.434734
9.0,9,0.435711
8.0,8,0.436621
9.0,9,0.437606
13.0,13,0.439032
13.0,13,0.440666
13.0,13,0.44204
9.0,9,0.442986
11.0,11,0.444304
10.0,10,0.445383
12.0,12,0.446597
8.0,8,0.447496
13.0,13,0.541983
23.0,23,0.544571
35.0,35,0.548347
19.0,19,0.550318
18.0,18,0.55272
30.0,30,0.555784
17.0,17,0.55728
32.0,32,0.560761
37.0,37,0.56444
35.0,35,0.581057
25.0,25,0.681539
27.0,27,0.684474
24.0,24,0.687047
28.0,28,0.689965
26.0,26,0.692728
20.0,20,0.694799
22.0,22,0.69724
26.0,26,0.70032
26.0,26,0.70292
24.0,24,0.705538
28.0,28,0.803019
207.0,207,0.872748
209.0,209,0.984903
205.0,205,0.998849
271.0,271,1.01668
183.0,183,1.028575
291.0,291,1.047414
245.0,245,1.06329
229.0,229,1.078137
193.0,193,1.090649
215.0,215,1.10457
233.0,233,1.120304
219.0,219,1.134734
335.0,335,1.156443
219.0,219,1.170718
243.0,243,1.18648
215.0,215,1.200412
242.0,242,1.216058
348.0,348,1.238837
229.0,229,1.253714
211.0,211,1.26739
233.0,233,1.282532
211.0,211,1.296222
175.0,175,1.307555
213.0,213,1.321343
277.0,277,1.339249
221.0,221,1.353522
241.0,241,1.369062
193.0,193,1.381515
179.0,179,1.393058
166.0,166,1.403807
343.0,343,1.425917
197.0,197,1.438632
311.0,311,1.4587
405.0,405,1.484774
271.0,271,1.502196
239.0,239,1.517589
251.0,251,1.533787
269.0,269,1.551135
401.0,401,1.576978
181.0,181,1.588741
237.0,237,1.604016
181.0,181,1.615686
195.0,195,1.628257
185.0,185,1.640272
173.0,173,1.651467
229.0,229,1.66627
263.0,263,1.683203
209.0,209,1.696666
209.0,209,1.710133
211.0,211,1.72373
173.0,173,1.734915
175.0,175,1.746221
207.0,207,1.759773
261.0,261,1.776594
249.0,249,1.792656
199.0,199,1.805466
193.0,193,1.817899
201.0,201,1.830885
173.0,173,1.842047
196.0,196,1.854686
264.0,264,1.871754
163.0,163,1.882871
181.0,181,1.894776
272.0,272,1.913099
179.0,179,1.925205
191.0,191,1.937809
242.0,242,1.953999
219.0,219,1.968643
187.0,187,1.981059
207.0,207,1.995372
177.0,177,2.007205
277.0,277,2.026502
263.0,263,2.045384
179.0,179,2.05752
225.0,225,2.072478
225.0,225,2.087385
203.0,203,2.101019
191.0,191,2.113598
207.0,207,2.127094
227.0,227,2.142419
299.0,299,2.16389
181.0,181,2.175877
175.0,175,2.18731
231.0,231,2.202523
179.0,179,2.214147
183.0,183,2.226084
427.0,427,2.25389
205.0,205,2.26719
193.0,193,2.279739
181.0,181,2.291445
293.0,293,2.31038
205.0,205,2.323675
171.0,171,2.335024
223.0,223,2.349686
237.0,237,2.365266
189.0,189,2.377554
219.0,219,2.391737
201.0,201,2.405026
219.0,219,2.419464
177.0,177,2.430869
252.0,252,2.448136
