#{"t_start": 1701555464.0907688, "env_id": "Ant-v4"}
r,l,t
-43.994952,60,0.251257
-57.301073,175,0.295041
5.665875,82,0.314962
-10.820543,30,0.322168
-9.701716,18,0.327668
-17.59823,25,0.333785
-360.923185,1000,3.761148
-3.340586,53,3.774257
-7.675029,26,3.780797
-17.639693,30,3.788005
-2.566109,11,5.359529
-43.692949,231,5.415837
-32.604802,77,5.435163
-102.069861,138,5.469603
-73.545512,81,7.063758
-70.83244,192,7.113203
-18.83702,52,7.12619
-37.457553,63,7.141589
-5.678037,17,7.14589
-17.526901,49,7.157767
-20.549872,71,7.175109
-7.516261,24,8.739617
-11.643046,15,8.74322
-2.008819,84,8.763525
-76.606481,191,8.810635
-21.71702,102,8.835306
-18.342577,21,8.840406
-6.702915,34,8.848614
-6.657039,21,8.853964
-1.082761,84,10.431502
-86.003514,107,10.45743
-37.569033,70,10.474312
-15.242512,126,10.505564
-93.35561,245,12.170818
-361.554024,1000,15.549366
-88.136415,167,15.590269
-17.76617,322,17.236662
-23.843559,30,17.243903
-22.448139,67,17.260009
15.32603,87,17.281477
-13.254325,19,17.286368
5.196611,56,17.299951
-1.078609,79,17.319158
-23.103288,40,17.328753
-10.683771,23,17.334716
5.600976,50,18.905376
-18.663386,103,18.930442
6.179241,29,18.937467
-14.728685,56,18.951154
8.438354,98,18.975423
-50.842216,129,19.007048
-121.638003,264,20.633877
-55.20095,89,20.655247
-5.536421,15,20.658838
-6.606177,36,20.668386
-28.173735,44,20.679166
-61.951663,112,22.27908
-28.220304,86,22.299722
-41.31324,121,22.328955
-17.000258,35,22.337377
-24.435709,54,22.351466
1.031059,19,22.355903
-298.025419,1000,25.729538
-104.145343,273,27.374088
-13.291643,31,27.381846
-54.063435,43,27.392359
-9.491469,105,27.41781
-21.039551,25,27.423858
-47.625579,124,27.45486
-354.528749,1000,30.830178
-328.629055,1000,36.601745
-11.527974,67,38.536049
-11.995944,21,38.657713
16.004873,164,39.578761
-40.061156,56,39.894384
-34.129842,77,40.328745
-102.342679,212,43.224078
-51.769179,126,43.930578
-81.719591,109,44.536655
-47.044943,89,45.034378
-19.050958,40,45.262047
-62.853731,117,47.607662
-13.24658,67,47.987817
-48.651685,62,48.336163
-26.777192,66,48.709918
-15.679444,55,49.021055
11.174159,33,49.206788
-50.249556,99,49.766337
-460.242441,1000,58.608695
-461.680762,1000,67.466185
-67.511761,161,69.929875
-477.712446,1000,78.747897
-496.858546,1000,87.746974
8.552498,30,87.928424
23.938588,39,88.219341
-43.96592,59,88.576044
-29.70106,38,88.808518
-534.152597,1000,98.050482
-365.695263,1000,107.213577
-8.019242,147,108.053397
-6.207179,94,108.800904
