#{"t_start": 1701553095.560404, "env_id": "Ant-v4"}
r,l,t
-8.521,15,0.253337
-3.724798,20,0.264355
-39.124611,63,0.279756
-13.296647,112,0.307595
-21.571966,44,0.319646
-1.891678,146,0.355649
-11.498444,30,0.363049
-31.558304,51,0.375272
-0.607036,15,0.379097
-297.368668,1000,3.922422
-4.284098,129,5.578853
-6.349866,66,5.594841
35.048215,165,5.634973
-5.23867,35,5.643528
-21.584051,79,5.663254
-263.366303,1000,9.173409
-6.91093,139,10.83188
-36.549388,72,10.849434
-15.594423,50,10.861596
12.270405,52,10.874185
-89.92029,166,10.914868
-34.919,86,12.562821
-34.912146,159,12.601264
-150.099174,364,14.310207
-355.188495,1000,17.817855
-49.689551,210,17.869154
-39.858486,333,19.663506
10.690375,43,19.673851
-112.786811,162,19.714013
12.518761,96,19.737607
-38.326446,78,19.756763
-9.62894,33,21.397619
4.823978,42,21.408292
3.305045,36,21.416893
-47.786787,154,21.454327
-13.601347,18,21.458755
-271.487067,1000,24.964175
-81.316583,205,25.015405
-1.200934,17,25.019655
-55.919367,128,26.701506
-5.385992,33,26.709823
-45.688001,122,26.739803
-88.395605,155,26.777616
-3.818553,54,26.7915
-86.387659,187,28.468741
-5.254431,40,28.478974
21.607948,59,28.493305
-10.798284,71,28.510997
-54.62724,103,28.547499
-348.674156,1000,32.077721
-359.870275,1000,37.996691
-46.474332,81,40.088691
-19.918706,18,40.190991
-73.27835,126,40.92622
-46.665381,166,41.87707
-12.642969,49,42.157175
-417.060511,1000,51.160776
-21.366851,61,51.537311
1.964138,18,51.642382
-63.437717,83,53.736052
-3.942799,78,54.177594
-419.307069,1000,63.103952
-466.980172,1000,72.047423
-448.623411,1000,81.007816
-28.291066,49,81.285249
-41.394143,103,81.877736
-372.4226,588,86.525203
-1.820111,117,87.205997
-483.438835,1000,96.107813
-378.784325,1000,104.106455
-76.5617,157,106.319603
-75.311386,220,107.592271
-31.585533,47,107.860455
-75.549877,299,110.861678
-308.647001,1000,118.772302
-5.119867,127,119.495321
-169.326355,510,123.973872
-27.005051,56,124.293435
33.266674,58,124.624684
3.603135,107,126.851464
33.163432,1000,135.214503
39.903952,802,141.102657
224.835215,1000,150.203949
318.820761,1000,159.111641
508.310514,1000,168.166606
576.936751,1000,176.913476
564.893587,1000,185.836802
568.612383,1000,194.735932
442.498593,1000,203.752328
544.37111,736,211.252262
759.819409,1000,220.172291
712.263943,1000,229.111416
755.837022,1000,238.216113
668.815134,1000,247.306021
697.746807,1000,256.382621
718.158357,1000,265.43362
787.948008,1000,274.498631
790.023408,1000,283.54145
279.959279,1000,292.274978
747.913852,1000,300.728911
10.222634,26,300.939082
27.184193,69,301.363396
708.845964,1000,310.673305
-1.699698,1000,320.268353
702.219336,1000,328.483991
-6.896874,16,328.572898
